Well Name,Formation,Depth,GR,DeltaPHI,PHIND,ILD,PE,Marine,RelPos,Facies
SHRIMPLIN,A1 SH,2793.0,77.45,9.9,11.915,21.28139045982712,4.6,0,1.0,3
SHRIMPLIN,A1 SH,2793.5,78.26,14.2,12.565,20.989398836235235,4.1,0,0.9790000000000001,3
SHRIMPLIN,A1 SH,2794.0,79.05,14.8,13.05,20.701413487910425,3.6,0,0.9570000000000001,3
SHRIMPLIN,A1 SH,2794.5,86.1,13.9,13.115,20.41737944669529,3.5,0,0.9359999999999999,3
SHRIMPLIN,A1 SH,2795.0,74.58,13.5,13.3,19.67886289706845,3.4,0,0.915,3
SHRIMPLIN,A1 SH,2795.5,73.97,14.0,13.385,18.706821403658008,3.6,0,0.894,3
SHRIMPLIN,A1 SH,2796.0,73.72,15.6,13.93,18.19700858609984,3.7,0,0.872,3
SHRIMPLIN,A1 SH,2796.5,75.65,16.5,13.92,17.78279410038923,3.5,0,0.83,3
SHRIMPLIN,A1 SH,2797.0,73.79,16.2,13.98,17.701089583174213,3.4,0,0.809,3
SHRIMPLIN,A1 SH,2797.5,76.89,16.9,14.22,16.982436524617444,3.5,0,0.787,3
SHRIMPLIN,A1 SH,2798.0,76.11,14.8,13.375,15.848931924611126,3.6,0,0.7659999999999999,3
SHRIMPLIN,A1 SH,2798.5,74.95,13.3,12.69,14.655478409559105,3.7,0,0.745,3
SHRIMPLIN,A1 SH,2799.0,71.87,11.3,12.475,13.243415351946654,3.5,0,0.723,3
SHRIMPLIN,A1 SH,2799.5,83.42,13.3,14.93,11.857687481671602,3.4,0,0.7020000000000001,3
SHRIMPLIN,A1 SH,2800.0,90.1,14.3,16.555,10.914403364487569,3.2,0,0.6809999999999999,2
SHRIMPLIN,A1 SH,2800.5,78.15,11.8,15.96,8.590135215053959,3.1,0,0.638,2
SHRIMPLIN,A1 SH,2801.0,69.3,9.5,15.12,7.5162289401820495,3.1,0,0.617,2
SHRIMPLIN,A1 SH,2801.5,63.54,8.8,15.19,6.854882264526613,3.0,0,0.596,2
SHRIMPLIN,A1 SH,2802.0,63.87,7.2,15.39,6.338697112569274,2.9,0,0.574,2
SHRIMPLIN,A1 SH,2802.5,58.32,6.6,14.885,5.91561634175474,2.8,0,0.5529999999999999,2
SHRIMPLIN,A1 SH,2803.0,56.61,5.5,14.8,5.470159628939717,3.0,0,0.532,2
SHRIMPLIN,A1 SH,2803.5,55.97,6.1,14.46,5.058246620031139,3.0,0,0.511,2
SHRIMPLIN,A1 SH,2804.0,63.67,6.0,14.745,4.875284901033863,3.0,0,0.489,2
SHRIMPLIN,A1 SH,2804.5,66.2,6.8,15.135,4.8305880203977285,3.0,0,0.46799999999999997,2
SHRIMPLIN,A1 SH,2805.0,61.27,6.1,15.48,4.920395356814512,3.0,0,0.447,2
SHRIMPLIN,A1 SH,2805.5,69.48,5.8,14.675,5.105049999754058,3.0,0,0.40399999999999997,3
SHRIMPLIN,A1 SH,2806.0,76.37,5.2,13.635,5.105049999754058,3.0,0,0.38299999999999995,3
SHRIMPLIN,A1 SH,2806.5,82.2,7.4,15.055,4.965923214503358,3.0,0,0.36200000000000004,2
SHRIMPLIN,A1 SH,2807.0,90.25,11.5,20.23,4.920395356814512,3.1,0,0.34,2
SHRIMPLIN,A1 SH,2807.5,94.38,14.2,24.015,5.199959965335161,3.0,0,0.319,2
SHRIMPLIN,A1 SH,2808.0,87.44,13.9,23.58,5.675446054085471,3.1,0,0.298,2
SHRIMPLIN,A1 SH,2808.5,70.98,11.5,18.395,6.338697112569274,3.1,0,0.27699999999999997,2
SHRIMPLIN,A1 SH,2809.0,64.72,10.3,13.815,7.550922276654338,3.1,0,0.255,2
SHRIMPLIN,A1 SH,2809.5,54.29,9.9,9.44,8.709635899560805,3.2,0,0.23399999999999999,3
SHRIMPLIN,A1 SH,2810.0,41.46,11.1,5.255,9.68277856261249,3.4,0,0.213,3
SHRIMPLIN,A1 SH,2810.5,50.93,12.1,5.265,11.168632477805614,4.6,0,0.17,3
SHRIMPLIN,A1 SH,2811.0,72.79,11.3,11.76,12.189895989248662,4.1,0,0.149,3
SHRIMPLIN,A1 SH,2811.5,95.34,14.1,17.665,12.882495516931346,3.5,0,0.128,3
SHRIMPLIN,A1 SH,2812.0,102.35,15.8,20.145,13.061708881318419,3.2,0,0.106,3
SHRIMPLIN,A1 SH,2812.5,79.7,15.5,18.07,12.531411749414156,3.2,0,0.085,3
SHRIMPLIN,A1 SH,2813.0,66.69,14.0,15.72,11.481536214968829,3.3,0,0.064,3
SHRIMPLIN,A1 SH,2813.5,73.68,14.7,15.98,11.015393095414145,3.3,0,0.043,2
SHRIMPLIN,A1 SH,2814.0,71.05,17.2,18.02,11.748975549395292,3.3,0,0.021,2
SHRIMPLIN,A1 LM,2814.5,57.02,11.6,12.09,18.03017740859569,3.5,1,1.0,8
SHRIMPLIN,A1 LM,2815.0,43.29,7.3,6.705,25.35128630497909,4.0,1,0.981,8
SHRIMPLIN,A1 LM,2815.5,36.06,5.7,4.595,33.419504002611454,5.0,1,0.963,8
SHRIMPLIN,A1 LM,2816.0,46.0,5.1,4.62,44.258837236262636,5.5,1,0.9440000000000001,8
SHRIMPLIN,A1 LM,2816.5,60.3,4.6,5.01,67.60829753919819,5.6,1,0.9259999999999999,6
SHRIMPLIN,A1 LM,2817.0,75.22,4.4,5.295,99.54054173515274,5.5,1,0.907,6
SHRIMPLIN,A1 LM,2817.5,87.19,4.7,5.32,123.02687708123811,5.4,1,0.889,6
SHRIMPLIN,A1 LM,2818.0,86.86,5.2,5.785,134.27649611378655,5.4,1,0.87,6
SHRIMPLIN,A1 LM,2818.5,88.0,6.5,6.38,126.4736347471151,5.4,1,0.852,6
SHRIMPLIN,A1 LM,2819.0,75.47,7.8,7.215,108.64256236170642,5.5,1,0.833,6
SHRIMPLIN,A1 LM,2819.5,59.36,10.0,8.925,87.9022516830885,4.9,1,0.7959999999999999,6
SHRIMPLIN,A1 LM,2820.0,55.57,8.6,9.355,80.16780633876789,4.5,1,0.778,6
SHRIMPLIN,A1 LM,2820.5,46.96,5.4,9.12,70.46930689671471,4.3,1,0.759,6
SHRIMPLIN,A1 LM,2821.0,43.67,3.6,8.225,56.49369748123023,4.1,1,0.741,6
SHRIMPLIN,A1 LM,2821.5,55.23,5.1,7.875,44.87453899331318,4.3,1,0.722,6
SHRIMPLIN,A1 LM,2822.0,61.24,9.7,8.575,35.80964371026362,4.3,1,0.7040000000000001,6
SHRIMPLIN,A1 LM,2822.5,54.46,12.8,10.66,28.575905433749465,4.4,1,0.685,6
SHRIMPLIN,A1 LM,2823.0,43.23,14.9,12.375,25.003453616964322,4.0,1,0.667,7
SHRIMPLIN,A1 LM,2823.5,44.59,16.0,13.54,23.120647901755948,3.9,1,0.648,7
SHRIMPLIN,A1 LM,2824.0,47.48,16.5,12.89,22.49054605835781,3.7,1,0.63,4
SHRIMPLIN,A1 LM,2824.5,61.1,15.2,11.785,21.97859872784824,3.7,1,0.611,4
SHRIMPLIN,A1 LM,2825.0,64.82,9.1,8.97,22.90867652767773,4.5,1,0.574,4
SHRIMPLIN,A1 LM,2825.5,55.77,6.1,8.93,26.30267991895381,5.1,1,0.556,4
SHRIMPLIN,A1 LM,2826.0,62.22,4.3,9.215,30.760968147407088,5.5,1,0.537,4
SHRIMPLIN,A1 LM,2826.5,55.06,2.9,9.5,37.32501577957203,5.6,1,0.519,6
SHRIMPLIN,A1 LM,2827.0,71.02,3.1,8.89,47.64309868054161,5.4,1,0.5,6
SHRIMPLIN,A1 LM,2827.5,91.37,3.9,8.06,57.809604740571785,5.3,1,0.48100000000000004,6
SHRIMPLIN,A1 LM,2828.0,115.42,5.2,6.875,66.37430704019083,5.3,1,0.46299999999999997,6
SHRIMPLIN,A1 LM,2828.5,115.7,5.9,6.085,75.85775750291836,5.2,1,0.444,6
SHRIMPLIN,A1 LM,2829.0,107.11,6.0,6.135,87.9022516830885,5.6,1,0.426,6
SHRIMPLIN,A1 LM,2829.5,93.82,5.8,6.64,103.75284158180126,5.6,1,0.40700000000000003,6
SHRIMPLIN,A1 LM,2830.0,61.63,3.6,6.865,132.43415351946643,6.1,1,0.37,6
SHRIMPLIN,A1 LM,2830.5,45.98,3.6,6.25,141.90575216890912,6.2,1,0.35200000000000004,6
SHRIMPLIN,A1 LM,2831.0,32.76,3.0,6.225,138.67558288718882,5.8,1,0.33299999999999996,6
SHRIMPLIN,A1 LM,2831.5,37.82,3.6,6.19,130.61708881318418,5.7,1,0.315,6
SHRIMPLIN,A1 LM,2832.0,40.73,2.3,6.375,119.1242008027375,5.5,1,0.29600000000000004,6
SHRIMPLIN,A1 LM,2832.5,33.42,2.2,6.61,102.32929922807536,5.4,1,0.278,6
SHRIMPLIN,A1 LM,2833.0,32.08,2.2,7.355,86.29785477669701,5.3,1,0.259,6
SHRIMPLIN,A1 LM,2833.5,33.82,2.1,8.33,76.91304402866095,4.9,1,0.24100000000000002,6
SHRIMPLIN,A1 LM,2834.0,45.57,1.1,8.84,70.46930689671471,4.7,1,0.222,6
SHRIMPLIN,A1 LM,2834.5,53.95,1.9,8.125,63.095734448019364,4.6,1,0.204,6
SHRIMPLIN,A1 LM,2835.0,59.42,4.3,7.845,56.23413251903491,4.6,1,0.185,6
SHRIMPLIN,A1 LM,2835.5,68.43,8.3,8.665,51.05049999754065,4.8,1,0.16699999999999998,6
SHRIMPLIN,A1 LM,2836.0,75.88,11.0,10.04,49.88844874600125,4.6,1,0.14800000000000002,6
SHRIMPLIN,A1 LM,2836.5,77.75,11.3,10.85,53.4564359396972,4.7,1,0.13,6
SHRIMPLIN,A1 LM,2837.0,80.93,9.6,9.815,65.16283940608427,4.6,1,0.111,6
SHRIMPLIN,A1 LM,2837.5,72.92,7.3,7.475,73.11390834834177,4.7,1,0.09300000000000001,6
