title,abstract,doi
Uranium Measurement By Airborne Gamma‐Ray Spectrometry,"In the airborne measurement of uranium, window type gamma‐ray spectrometers are used and it is necessary to correct for scattered high energy radiation from thallium 208 in the thorium decay series. This radiation can be scattered in the crystal, in the ground, and in the air. A theory, analogous to the theory of radioactive decay, is developed; it can adequately explain the spectrum buildup in the uranium window for a point source of thorium oxide immersed to different depths in water and for a detector above the water. The theory is extended to predict the buildup as a function of altitude for detectors of different sizes and shows that errors in the airborne measurement of uranium can be, significant if no allowance is made for radiation scattered in the ground and in the air.",10.1190/1.1440542
Coupling In Amplitude Variation With Offset And The Wiggins Approximation,"Linear amplitude-variation-with-offset (AVO) approximations, which experience a reduction in accuracy as elastic parameter contrasts become large, may be adjusted with second- and higher-order corrections. Corrective terms can be expressed in many ways, but they only serve a meaningful purpose if they provide the same qualitative interpretability as did the linearization. Some aspects of nonlinear AVO can be understood, quantitatively and qualitatively, in terms of coupling — the interdependence of elastic parameter contrasts amongst themselves in their determination of reflection strengths. Coupling, for instance, explains the weak but nonnegligible dependence of the converted wave reflection coefficient on the lower half-space P-wave velocity. This fact can be exposed by expanding the solutions of the Zoeppritz equations in a particular hierarchy of series. Also explainable through this approach is the mathematical importance of what is sometimes referred to as the ""Wiggins approximation,"" under which VP/VS=2. This special number is seen to coincide with a full decoupling of density contrasts from VP and VS contrasts at the second order. The decoupling persists across several variations of the nonlinear AVO approximations, including both expressions in terms of the relative changes ΔVP/VP, ΔVS/VS, and Δρ/ρ, and expressions in terms of single-parameter reflectivities.",10.1190/geo2012-0429.1
Principal Component Spectral Analysis,"Spectral decomposition methods help illuminate lateral changes in porosity and thin-bed thickness. For broadband data, an interpreter might generate 80 or more somewhat redundant amplitude and phase spectral components spanning the usable seismic bandwidth at   1-Hz   intervals. Large numbers of components can overload not only the interpreter but also the display hardware. We have used principal component analysis to reduce the multiplicity of spectral data and enhance the most energetic trends inside the data. Each principal component spectrum is mathematically orthogonal to other spectra, with the importance of each spectrum being proportional to the size of its corresponding eigenvalue. Principal components are ideally suited to identify geologic features that give rise to anomalous moderate- to high-amplitude spectra. Unlike the input spectral magnitude and phase components, the principal component spectra are not direct indicators of bed thickness. By combining the variability of multiple components, principal component spectra highlight stratigraphic features that can be interpreted using a seismic geomorphology workflow. By mapping the three largest principal components using the three primary colors of red, green, and blue, we could represent more than 80% of the spectral variance with a single image. We have applied and validated this workflow using a broadband data volume containing channels draining an unconformity, which was acquired over the Central Basin Platform, Texas, U.S.A. Principal component analysis reveals a channel system with only a few output data volumes. The same process provides the interpreter with flexibility to remove any unwanted high-amplitude geologic trends or random noise from the original spectral components by eliminating those principal components that do not aid in delineation of prospective features with their interpretation during the reconstruction process.",10.1190/1.3119264
Extended Arrays For Marine Seismic Acquisition,"In‐line arrays for both source and receiver have been implemented for marine seismic reflection data acquisition. The in‐line array dimensions (variable within limits) are considerably greater than any previously used system of which we are aware. The arrays were designed to attenuate extremely strong sea‐bottom multiples during the data acquisition phase. The source comprised 25 airguns arranged in five identical in‐line subarrays. Each subarray produced a signal of better than 6 barmeters acoustic intensity with a primary‐to‐bubble ratio of approximately 4.4 from guns totaling 297 cu in. When this source was delivered in 1973, it constituted the most powerful production airgun source for which we had seen calibration measurements.  Receiver arrays were implemented by a ""weighting‐mixing"" box (which formed part of the DFS IV instrument), the input to which comprised 53 channels of data each from a 50 m live section in the streamer cable. Processing techniques which are complementary to the field procedures have been developed.  Comparisons with ""conventional"" data (and such data processed to simulate field arrays) show significant improvements in ""data quality"" from the new field techniques, that is, the new data are easier to interpret geologically because interfering multiples have been attenuated relative to desired energy. Whilst the large outgoing signal amplitude will have made some contribution to the data quality, the major improvement is believed to result from the use of arrays in the recording phase. This system, first used for production in August 1973, was subsequently used successfully during recording of 17,000 km of offshore seismic data from Eastern Canada, the North Sea, and the Mediterranean.",10.1190/1.1440827
Modeling Anisotropic Static Elastic Properties Of Soft Mudrocks With Different Clay Fractions,"We have quantified the effects of clay fraction and fabric on the static elastic properties of soft mudrocks with emphasis on microlevel mechanisms. Soft mudrocks are treated as a mixture of nonclay minerals and clay-water composites. We have devised a simplified approach to estimate the fabric orientation distribution of soft mudrocks based on measured parameters such as clay fraction and porosity. A single parameter (fabric angle) that characterizes the fabric orientation distribution of soft mudrocks is related to the void ratio of clay-water composites. The static transversely isotropic (TI) elastic properties of soft mudrocks are modeled using an anisotropic differential effective medium approach. The effect of variation in fabric orientation distribution on the TI elastic parameters of clay-water composites is studied by applying the Voigt approximation. With an increase of clay fraction, soft mudrocks have decreasing trends in the deformation moduli because some nonclay minerals are replaced by clay-water composites. However, the deformation moduli of clay-water composites could increase when there is more anisotropy in the fabric due to an increase in the clay fraction. Thus, the correlations between anisotropic elastic moduli and volume fraction of clay-water composites will display some fluctuations. Such nonlinear relationships are validated against published experimental data on Colorado shale samples from the Western Canadian Sedimentary Basin.",10.1190/geo2015-0575.1
Bouguer Corrections With Varying Surface Density,"The Bouguer correction is made, as a rule, to sea level and by using an average density value of the rocks, determined by the profile method. However, if the density of the rocks forming the topography varies from place to place, then the proper density value should be used for every topographical feature. The Bouguer correction with varying density should be made only to a surface drawn through the low points of the topography. Below this surface, and to sea level, a constant density value should be used all over in the area; otherwise, nonexisting gravity anomalies may be introduced into the results of the survey, or existing gravity anomalies may be distorted. A few examples are given for computing Bouguer corrections with varying surface density, and to illustrate the errors introduced by using improper density values.",10.1190/1.1438292
Possible Application Of The Anomalous Free‐Air Vertical Gradient To Marine Exploration,"Recently it could be shown (Thyssen‐Bornemisza, 1965) that a vertical lithologic unit cylinder generates a relatively strong anomalous free‐air vertical gravity gradient F′ along the cylinder axis. The following simple example may serve as a demonstration. A small vertical cylinder made of gold or tungsten, where radius r and length L are identical, would generate the anomalous average gradient F′∼3,223 Eötvös units over the interval h=r=L going from the cylinders top surface upward. Suppose r=l=1 cm, then an average gradient exceeding the earth's normal free‐air vertical gradient F is present over the interval h=1 cm.",10.1190/1.1439745
Hydrologic Trajectories In Transient Ground-Penetrating-Radar Reflection Data,"A variable-rate infiltration experiment was conducted in a sandbox to demonstrate that distinctive patterns are produced in transient ground-penetrating-radar (GPR) data collected during wetting and drying events. The observed GPR response was found to be very consistent with the results of numerical simulations performed using finite-difference time-domain modeling of GPR coupled with a 1D unsaturated flow model (HYDRUS-1D) for which the sand hydraulic properties were determined independently using core samples. Despite this agreement, few methods are available that can efficiently analyze transient GPR data to make a quantitative link between observed responses and the hydraulic properties of soils. To address this problem, a computationally efficient method is proposed that is analogous to coherency analysis used in multioffset surveys. The new method isbased on the calculation of semblance along trajectories through transient GPR data. Each trajectory represents a specific GPR arrival, e.g., the ground wave and reflections from the wetting front and subsurface boundaries. The specific path of the trajectories is controlled by the hydraulic properties of the soil, just as the normal-moveout trajectories used to calculate semblance in multioffset data are controlled by wave velocity. Because the method is based on the output of 1D unsaturated flow models, it can be used for situations with complex hydrologic boundary conditions. Good agreement was found in this study between the calculated trajectories and the arrivals observed for both simulated and empirical GPR data. A sensitivity analysis performed in this study suggests that most parameters of the Mualem–van Genuchten soil model can be identified using this approach to coherency analysis of transient GPR data.",10.1190/1.3463416
The Newmont Drill‐Hole Emp System—Examples From Eastern Australia,"Surface and drill‐hole EMP (ElectroMagnetic Pulse) surveys are routinely carried out by Newmont in various countries around the world. Results from drill hole EMP surveys on three base metal deposits in New South Wales are presented and discussed. Interpretation of the EMP data is aided by computer modeling of the results to determine location, depth, strike, dip, and quality of conductors. Computer models for all three deposits give excellent agreement with geology and drill intersections.",10.1190/1.1441740
Mapping Of Induced Polarization Using Natural Fields,"The observed electromagnetic response of a finite body is caused by induction and polarization currents in the body and by the distortion of the induction currents in the surrounding medium. At a sufficiently low frequency, there is negligible induction and the measured response is that of the body distorting the background currents just as it would distort a direct current (dc). Because this dc response is not inherently frequency dependent, any observed change in response of the body for frequencies low enough to be in this dc limit must result from frequency‐dependent conductivity. Profiles of low‐frequency natural electric (telluric) fields have spatial anomalies over finite bodies of fixed conductivity that are independent of frequency and have no associated phase anomaly. If the body is polarizable, the electric field profile over the body becomes frequency dependent and phase shifted with respect to a reference field. The technique was tested on data acquired in a standard continuous profiling magnetotelluric (MT) survey over a strong induced polarization (IP) anomaly previously mapped with a conventional pole‐dipole IP survey. The extracted IP response appears in both the apparent resistivity and the normalized electric field profiles.",10.1190/1.1444888
