Vp,Vs,Rho_n,Lithology
3045.6,1595.7,2109.1205853328656,sandstone
3000.6,1517.1,2090.3420131307503,sandstone
3363.6,2041.5,2131.9899820207106,sandstone
3195.3,1606.2,2184.9392333485707,sandstone
4237.5,2448.6,2472.2307675893594,sandstone
4319.1,2438.7,2458.959707947306,sandstone
4533.0,2726.7,2397.1364341499784,sandstone
3538.5,2085.0,2047.3621307528808,sandstone
3524.7,2015.4,2210.528783243676,sandstone
3565.2,2080.8,2141.620217448343,sandstone
3442.8,2117.7,2194.5843621625027,sandstone
3352.2,1960.8,2080.5501425324846,sandstone
3340.2,1819.2,2158.1717550590038,sandstone
3318.9,2092.8,2191.4936709153862,sandstone
4392.0,2887.0,2178.400404536551,sandstone
3380.1,1712.4,2007.898143373988,sandstone
3085.2,1758.0,2115.69860313968,sandstone
3617.1,2107.8,2187.030778460915,sandstone
5406.0,3455.0,2115.2518624501336,sandstone
3620.7,2157.3,2089.8801708473857,sandstone
4017.0,2642.1,2474.6606719901524,sandstone
3400.5,2148.6,2132.7006355943868,sandstone
4349.4,2600.4,2431.952949959057,sandstone
3045.6,1734.6,2060.486286257234,sandstone
3206.7,1627.5,2145.8217304211817,sandstone
3096.6,1960.8,2110.1461248325154,sandstone
4541.4,2733.0,2430.3765278187384,sandstone
3019.5,1595.7,2071.602853993741,sandstone
3113.4,1890.3,2079.68651896638,sandstone
4364.7,2606.1,2397.504773707147,sandstone
4558.2,2700.0,2418.536611426539,sandstone
3155.1,2013.3,2191.9038371849147,sandstone
3361.5,2025.6,2081.9428142273014,sandstone
3627.9,2373.3,2408.352556144572,sandstone
3596.1,2018.7,2136.32943282882,sandstone
3534.3,2373.3,2379.9303806516496,sandstone
3381.9,2044.8,2150.010960570655,sandstone
3149.7,1645.8,2132.977829438585,sandstone
3012.3,1709.4,2128.9406987865987,sandstone
3000.6,1509.9,2078.276850355692,sandstone
3252.9,1627.5,2192.9681547144646,sandstone
4166.1,2642.1,2430.2814333853157,sandstone
3675.9,2111.4,2137.4188772748907,sandstone
3836.1,2541.6,2398.0405028281702,sandstone
3343.5,2015.7,2071.9835478721343,sandstone
3020.1,1528.8,2059.4709201648675,sandstone
4237.5,2419.8,2443.521594236412,sandstone
3991.2,2407.8,2400.851605044777,sandstone
3050.7,1953.3,2130.3759236559617,sandstone
3047.7,1692.9,2081.0903541463013,sandstone
3207.0,1924.8,2078.054208248534,sandstone
4223.1,2549.4,2350.5812204281565,sandstone
4319.1,2578.8,2369.197183113138,sandstone
4575.0,2826.6,2439.491983039617,sandstone
3690.6,2184.0,2082.3469768535424,sandstone
3437.1,1876.8,2204.7143649322925,sandstone
5917.0,3665.0,2164.875616004003,sandstone
3190.8,2075.4,2039.452744071549,sandstone
3579.0,2140.8,2119.177943427864,sandstone
4467.6,2631.0,2410.567261069309,sandstone
4411.5,2813.7,2426.55835973052,sandstone
4443.3,2846.1,2462.749792147619,sandstone
4600.5,2742.0,2453.527664334097,sandstone
4017.0,2631.0,2411.769349861345,sandstone
4451.4,2679.6,2399.894157152193,sandstone
3292.8,1617.6,2165.4079307960724,sandstone
3053.1,1626.0,2072.3598990256696,sandstone
3495.0,1887.0,2128.8937951678126,sandstone
4395.9,2839.8,2451.834584505525,sandstone
4259.4,2763.3,2408.936721255081,sandstone
3084.9,1917.3,2125.930163927085,sandstone
3435.9,2052.3,2113.8810101167032,sandstone
3674.4,2178.3,2125.469000400561,sandstone
3585.9,2067.3,2181.295950857206,sandstone
4274.1,2757.3,2388.399207326416,sandstone
3423.9,2150.7,2210.6601627060445,sandstone
3069.6,1848.9,2210.1729003654764,sandstone
4411.5,2820.3,2386.0430545469158,sandstone
3365.7,1923.3,2026.9796125529267,sandstone
3456.9,2106.9,2209.730399826205,sandstone
4388.1,2606.1,2430.0051512938785,sandstone
4244.7,2769.6,2473.845082973866,sandstone
3451.5,1868.4,2151.2849755281754,sandstone
5232.0,3083.0,2127.769986465863,sandstone
3437.1,1860.0,2207.6253573534923,sandstone
3142.8,2031.9,2109.087910485768,sandstone
3316.8,1890.0,2053.1560019377907,sandstone
4788.0,2954.0,2134.0646294085627,sandstone
