Well Name,Formation,Depth,GR,DeltaPHI,PHIND,ILD,PE,Marine,RelPos,Facies,ILD_log10,Lithofacies,RHOB,Lithology,Mineralogy
SHRIMPLIN,A1 SH,2793.0,77.45,9.9,11.915,21.28139045982712,4.6,0,1.0,3,1.328,f_siltstone,2310.04833518313,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2793.5,78.26,14.2,12.565,20.989398836235235,4.1,0,0.979,3,1.3219999999999998,f_siltstone,2331.208857808858,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2794.0,79.05,14.8,13.05,20.701413487910425,3.6,0,0.957,3,1.316,f_siltstone,2320.4098591549296,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2794.5,86.1,13.9,13.115,20.41737944669529,3.5,0,0.936,3,1.3099999999999998,f_siltstone,2309.8136469221836,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2795.0,74.58,13.5,13.3,19.67886289706845,3.4,0,0.915,3,1.294,f_siltstone,2299.8540462427745,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2795.5,73.97,14.0,13.385,18.706821403658008,3.6,0,0.894,3,1.272,f_siltstone,2301.6453488372094,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2796.0,73.72,15.6,13.93,18.19700858609984,3.7,0,0.872,3,1.2600000000000002,f_siltstone,2297.5625592417064,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2796.5,75.65,16.5,13.92,17.78279410038923,3.5,0,0.83,3,1.25,f_siltstone,2305.8008982035926,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2797.0,73.79,16.2,13.98,17.701089583174213,3.4,0,0.809,3,1.248,f_siltstone,2301.1052505966586,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2797.5,76.89,16.9,14.22,16.982436524617444,3.5,0,0.787,3,1.23,f_siltstone,2298.804512635379,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2798.0,76.11,14.8,13.375,15.848931924611126,3.6,0,0.7659999999999999,3,1.1999999999999997,f_siltstone,2309.3476525821593,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2798.5,74.95,13.3,12.69,14.655478409559104,3.7,0,0.745,3,1.1659999999999997,f_siltstone,2318.386332179931,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2799.0,71.87,11.3,12.475,13.243415351946654,3.5,0,0.723,3,1.1220000000000003,f_siltstone,2305.986414881623,siltstone,siliciclastic
SHRIMPLIN,A1 SH,2799.5,83.42,13.3,14.93,11.857687481671602,3.4,0,0.7020000000000001,3,1.074,f_siltstone,2243.4613033448672,siltstone,siliciclastic
